"Metrics","Variables","Interaction","Intercept_grouping","Wifull","Floor_Sig","Wi_Floor","Median_Sig","Wi_Median","Ceiling_Sig","Wi_Ceiling","Formula"
"Acroloxidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Aeshnidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ameletidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ancylidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Anthomyiidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Apataniidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Aphelocheiridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Asellidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Astacidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Athericidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Baetidae","poly(VEL,2) log10(DEPTH)","","full",0.895912721529518,"NO",0.359924599409564,"YES",1,"NO",0.900442438136737,"VAR ~ 1 + poly(VEL, 2) + log10(DEPTH) + +GROUP + SUB"
"Beraeidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Bithyniidae","poly(VEL,2)","(poly(VEL,2)):GROUP","no_sub",0.643630934653153,"NO",2.07588280588808e-15,"YES",1,"YES",1,"VAR ~ 1 + poly(VEL, 2) + (poly(VEL, 2)):GROUP + GROUP"
"Blephariceridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Brachycentridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Caenidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Calamoceratidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Calopterygidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Cambaridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ceratopogonidae","VEL","(VEL):GROUP","no_sub",0.60859874656769,"NO",7.77586120826477e-10,"YES",1,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Chironomidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Chloroperlidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Coenagrionidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Corbiculidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Cordulegastridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Corixidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Crambidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Culicidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Curculionidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dendrocoelidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dixidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dolichopodidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dreissenidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dryopidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Dugesiidae","log10(DEPTH)","(log10(DEPTH)):GROUP","no_sub",0.58857757937044,"YES",1,"YES",0.999999999278582,"YES",1,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP + GROUP"
"Dytiscidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ecnomidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Elmidae","exp(VEL) log10(DEPTH)","(log10(DEPTH)):GROUP","no_sub",0.700657795919726,"YES",0.999999994231182,"YES",1,"YES",1,"VAR ~ 1 + exp(VEL) + log10(DEPTH) + (log10(DEPTH)):GROUP + GROUP"
"Empididae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Enchytraeidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ephemerellidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Ephemeridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Ephydridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Erpobdellidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Gammaridae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Gerridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Glossiphoniidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Glossosomatidae","log10(VEL)","(log10(VEL)):GROUP","no_sub",0.530188499525751,"NO",7.77599569748764e-10,"YES",0.999947106839871,"YES",1,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP"
"Goeridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Gomphidae","poly(VEL,2)","(poly(VEL,2)):GROUP","no_sub",0.786817622085959,"YES",1,"YES",0.999999999990561,"YES",1,"VAR ~ 1 + poly(VEL, 2) + (poly(VEL, 2)):GROUP + GROUP"
"Gyrinidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Haemopidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Haliplidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Haplotaxidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Helophoridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Heptageniidae","VEL","(VEL):GROUP","no_sub",0.999999996715973,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Hirudinidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Hydrachnidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Hydraenidae","VEL","(VEL):GROUP","no",0.738493131866373,"NO",1.77665048633505e-08,"YES",1,"YES",1,"VAR ~ VEL + (VEL):GROUP + 1"
"Hydridae","exp(VEL)","(exp(VEL)):GROUP","no_sub",0.551000944213431,"NO",7.77568229386062e-10,"YES",0.999999999240066,"YES",1,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP"
"Hydrobiidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Hydrochidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Hydrometridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Hydrophilidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Hydropsychidae","VEL","(VEL):GROUP","full",0.781267375496824,"YES",0.999978169982503,"YES",0.999999999998137,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hydroptilidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Ichneumonidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Lepidostomatidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Leptoceridae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Leptophlebiidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Lestidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Leuctridae","VEL","(VEL):GROUP","no_sub",0.859672947823749,"NO",0.727233665825605,"YES",0.999999999882899,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Libellulidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Limnephilidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Limoniidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Lumbricidae","DEPTH","(DEPTH):GROUP","no_sub",0.530626694911988,"NO",7.77587002539134e-10,"NO",0.995870899033725,"YES",1,"VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP"
"Lumbriculidae","","","no_group",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++SUB"
"Lymnaeidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Melanopsidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Mesoveliidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Muscidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Naididae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Nemouridae","exp(VEL)","(exp(VEL)):GROUP","no",0.857394153673265,"NO",1.77665764504933e-08,"YES",1,"YES",1,"VAR ~ exp(VEL) + (exp(VEL)):GROUP + 1"
"Nepidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Neritidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Odontoceridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Oligoneuriidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Pediciidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Perlidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Perlodidae","exp(VEL)","(exp(VEL)):GROUP","no_sub",0.582910948532301,"NO",7.77592031782021e-10,"YES",0.999999999999896,"YES",1,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP"
"Philopotamidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Phryganeidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Physidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Piscicolidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Planariidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Planorbidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Platycnemididae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Polycentropodidae","log10(DEPTH)","(log10(DEPTH)):GROUP","no_sub",0.530094674151023,"YES",1,"NO",0.973962241842763,"YES",1,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP + GROUP"
"Potamanthidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Prosopistomatidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Psephenidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Psychodidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Psychomyiidae","exp(DEPTH)","(exp(DEPTH)):GROUP","no_sub",0.755087451806816,"NO",7.77584287532771e-10,"YES",0.999999999999862,"YES",1,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP"
"Ptilocolepidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Pyralidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Rhagionidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Rhyacophilidae","VEL","(VEL):GROUP","no_sub",0.767496101647334,"NO",0.00906642967741643,"YES",1,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Sciomyzidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Scirtidae","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"Sericostomatidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Sialidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Simuliidae","exp(VEL) exp(DEPTH)","","full",0.598453442555389,"NO",0.0765967964429904,"YES",0.99999999997254,"YES",1,"VAR ~ 1 + exp(VEL) + exp(DEPTH) + +GROUP + SUB"
"Siphlonuridae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Sphaeriidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Stratiomyidae","exp(DEPTH)","(exp(DEPTH)):GROUP","no_sub",0.556906665851197,"NO",0.0825708319973984,"YES",0.999999999999979,"YES",1,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP"
"Tabanidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Taeniopterygidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Thaumaleidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Tipulidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Tubificidae","","","no_group",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++SUB"
"Valvatidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Veliidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"Viviparidae","","","no",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ ++1"
"RICHNESS","VEL DEPTH","","no_sub",0.981547639243921,"NO",0.993500075831404,"YES",0.999999999752512,"YES",1,"VAR ~ 1 + VEL + DEPTH + +GROUP"
"EPT","log10(VEL) exp(DEPTH)","","no_sub",0.998408775288075,"NO",0.993540581127376,"YES",0.999999999648503,"YES",1,"VAR ~ 1 + log10(VEL) + exp(DEPTH) + +GROUP"
"EPT_prop","poly(VEL,2) exp(DEPTH)","","full",0.96230143359809,"NO",0.945217988407106,"YES",0.999999999999999,"YES",0.999999171869112,"VAR ~ 1 + poly(VEL, 2) + exp(DEPTH) + +GROUP + SUB"
"EPT_abu","poly(VEL,2) DEPTH","","full",0.999999999996712,"YES",1,"YES",1,"YES",0.999999999998574,"VAR ~ 1 + poly(VEL, 2) + DEPTH + +GROUP + SUB"
"OCH","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"OCH_prop","log10(DEPTH)","","no_sub",0.683376102907241,"NO",0.229333575607527,"NO",0.987781920580073,"NO",0.664892735789485,"VAR ~ 1 + log10(DEPTH) + +GROUP"
